seconds, temperature
474.00,75.02
475.00,75.01
476.00,75.01
477.00,75.01
478.00,75.01
479.00,75.01
480.00,75.01
481.00,75.01
482.00,75.01
483.00,75.01
484.00,75.01
485.00,75.01
486.00,75.01
487.00,75.01
488.00,75.01
489.00,75.01
490.00,75.01
491.00,75.00
492.00,75.00
493.00,75.00
494.00,75.00
495.00,75.00
496.00,75.00
497.00,75.00
498.00,75.00
499.00,75.00
500.00,75.00
501.00,75.00
502.00,75.00
503.00,75.00
504.00,75.00
505.00,75.00
506.00,75.00
507.00,75.00
508.00,75.00
509.00,75.00
510.00,75.00
511.00,75.00
512.00,75.00
513.00,75.00
514.00,75.00
515.00,75.00
516.00,75.00
517.00,75.00
518.00,75.00
519.00,75.00
520.00,75.00
521.00,75.00
522.00,75.00
523.00,75.00
524.00,75.00
525.00,75.00
526.00,75.00
527.00,75.00
528.00,75.00
529.00,75.00
530.00,75.00
531.00,75.00
532.00,75.00
533.00,75.00
534.00,75.00
535.00,75.00
536.00,75.00
537.00,75.00
538.00,75.00
539.00,75.00
540.00,75.00
541.00,75.00
542.00,75.00
543.00,75.00
544.00,75.00
545.00,75.00
546.00,75.00
547.00,75.00
548.00,75.00
549.00,75.00
550.00,75.00
551.00,75.00
552.00,75.00
553.00,75.00
554.00,75.00
555.00,75.00
556.00,75.00
557.00,75.00
558.00,75.00
559.00,75.00
560.00,75.00
561.00,75.00
562.00,75.00
563.00,75.00
564.00,75.00
565.00,75.00
566.00,75.00
567.00,75.00
568.00,75.00
569.00,75.00
570.00,75.00
571.00,75.00
572.00,75.00
573.00,75.00
574.00,75.00
575.00,75.00
577.00,75.00
578.00,75.00
579.00,75.00
580.00,75.00
581.00,75.00
582.00,75.00
583.00,75.00
584.00,75.00
585.00,75.00
586.00,75.00
587.00,75.00
588.00,75.00
589.00,75.00
590.00,75.00
591.00,75.00
592.00,75.00
593.00,75.00
594.00,75.00
595.00,75.00
596.00,75.00
597.00,75.00
598.00,75.00
599.00,75.00
600.00,75.00
601.00,75.00
602.00,75.00
603.00,75.00
604.00,75.00
605.00,75.00
606.00,75.00
607.00,75.00
608.00,75.00
609.00,75.00
610.00,75.00
611.00,75.00
612.00,75.00
613.00,75.00
614.00,75.00
615.00,75.00
616.00,75.00
617.00,75.00
618.00,75.00
619.00,75.00
620.00,75.00
621.00,75.00
622.00,75.00
623.00,75.00
624.00,75.00
625.00,75.00
626.00,75.00
627.00,75.00
628.00,75.00
629.00,75.00
630.00,75.00
631.00,75.00
632.00,75.00
633.00,75.00
634.00,75.00
635.00,75.00
636.00,75.00
637.00,75.00
638.00,75.00
639.00,75.00
640.00,75.00
641.00,75.00
642.00,75.00
643.00,75.00
644.00,75.00
645.00,75.00
646.00,75.00
647.00,75.00
648.00,75.00
649.00,75.00
650.00,75.00
651.00,75.00
652.00,75.00
653.00,75.00
654.00,75.00
655.00,75.00
656.00,75.00
657.00,75.00
658.00,75.00
659.00,75.00
660.00,75.00
661.00,75.00
662.00,75.00
663.00,75.00
664.00,75.00
665.00,75.00
666.00,75.00
667.00,75.00
668.00,75.00
669.00,75.00
670.00,75.00
671.00,75.00
672.00,75.00
673.00,75.00
674.00,75.00
675.00,75.00
676.00,75.00
677.00,75.00
678.00,75.00
679.00,75.00
680.00,75.00
681.00,75.00
682.00,75.00
683.00,75.00
684.00,75.00
685.00,75.00
686.00,75.00
687.00,75.00
688.00,75.00
689.00,75.00
690.00,75.00
691.00,75.00
692.00,75.00
693.00,75.00
694.00,75.00
695.00,75.00
696.00,75.00
697.00,75.00
698.00,75.00
700.00,75.00
701.00,75.00
702.00,75.00
703.00,75.00
704.00,75.00
705.00,75.00
706.00,75.00
707.00,75.02
708.00,75.19
709.00,75.55
710.00,75.92
711.00,76.26
712.00,76.62
713.00,76.97
714.00,77.34
715.00,77.68
716.00,78.03
717.00,78.38
718.00,78.72
719.00,79.06
720.00,79.42
721.00,79.75
722.00,80.11
723.00,80.45
724.00,80.81
725.00,81.13
726.00,81.49
727.00,81.82
728.00,82.16
729.00,82.50
730.00,82.86
731.00,83.18
732.00,83.51
733.00,83.87
734.00,84.22
735.00,84.54
736.00,84.89
737.00,85.23
738.00,85.57
739.00,85.90
740.00,86.25
741.00,86.57
742.00,86.93
743.00,87.26
744.00,87.60
745.00,87.93
746.00,88.28
747.00,88.62
748.00,88.95
749.00,89.29
750.00,89.62
751.00,89.96
752.00,90.31
753.00,90.64
754.00,90.99
755.00,91.31
756.00,91.64
757.00,91.99
758.00,92.31
759.00,92.66
760.00,93.01
761.00,93.35
762.00,93.68
763.00,94.02
764.00,94.37
765.00,94.68
766.00,95.02
767.00,95.37
768.00,95.68
769.00,96.02
770.00,96.37
771.00,96.70
772.00,97.02
773.00,97.37
774.00,97.70
775.00,98.04
776.00,98.37
777.00,98.72
778.00,99.04
779.00,99.39
780.00,99.72
781.00,100.07
782.00,100.26
783.00,100.28
784.00,100.25
785.00,100.22
786.00,100.20
787.00,100.19
788.00,100.17
789.00,100.16
790.00,100.15
791.00,100.14
792.00,100.13
793.00,100.12
794.00,100.11
795.00,100.11
796.00,100.10
797.00,100.09
798.00,100.08
799.00,100.08
800.00,100.07
801.00,100.07
802.00,100.06
803.00,100.06
804.00,100.05
805.00,100.05
806.00,100.05
807.00,100.04
808.00,100.04
809.00,100.04
811.00,100.04
812.00,100.03
813.00,100.03
814.00,100.03
815.00,100.03
816.00,100.03
817.00,100.02
818.00,100.02
819.00,100.02
820.00,100.02
821.00,100.02
822.00,100.02
823.00,100.02
824.00,100.01
825.00,100.01
826.00,100.01
827.00,100.01
828.00,100.01
829.00,100.01
830.00,100.01
831.00,100.01
832.00,100.01
833.00,100.01
834.00,100.01
835.00,100.01
836.00,100.01
837.00,100.01
838.00,100.01
839.00,100.01
840.00,100.00
841.00,100.00
842.00,100.00
843.00,100.00
844.00,100.00
845.00,100.00
846.00,100.00
847.00,100.00
848.00,100.00
849.00,100.00
850.00,100.00
851.00,100.00
852.00,100.00
853.00,100.00
854.00,100.00
855.00,100.00
856.00,100.00
857.00,100.00
858.00,100.00
859.00,100.00
860.00,100.00
861.00,100.00
862.00,100.00
863.00,100.00
864.00,100.00
865.00,100.00
866.00,100.00
867.00,100.00
868.00,100.00
869.00,100.00
870.00,100.00
871.00,100.00
872.00,100.00
873.00,100.00
874.00,100.00
875.00,100.00
876.00,100.00
877.00,100.00
878.00,100.00
879.00,100.00
880.00,100.00
881.00,100.00
882.00,100.00
883.00,100.00
884.00,100.00
